ring,year,site,box,age,sex,wing,mass,date,time,ringer
Z632253,2016,PTH,3,6,M,64,11.02,145,12:00,Recorder2
Z632381,2016,PTH,3,6,F,64,11.09,145,12:00,Recorder2
S228329,2016,TAI,2,6,M,66,11.45,146,13:45,Recorder9
S228330,2016,TAI,3,6,F,61,10.35,146,14:10,Recorder9
Z081352,2016,TAI,5,6,M,62,10.89,146,14:35,Recorder9
Z081735,2016,SER,5,5,F,61,10.51,146,12:30,Recorder2
Z081848,2016,TAI,3,6,M,65,11.25,146,14:10,Recorder9
Z632382,2016,SER,2,6,M,64,10.57,146,12:10,Recorder2
Z632622,2016,SER,5,6,M,67,10.92,146,12:30,Recorder2
Z081098,2016,FOU,1,6,M,65,10.83,147,10:30,Recorder9
Z081282,2016,DEL,1,6,F,61,10.87,147,9:30,Recorder9
Z632270,2016,DEL,1,6,M,65,10.78,147,9:30,Recorder9
Z632447,2016,EDI,2,6,M,65,10.48,148,15:50,Recorder9
Z632838,2016,ALN,5,6,F,64,10.72,148,16:30,Recorder1
Z081353,2016,TAI,5,6,F,60,10.07,150,14:15,Recorder9
Z632477,2016,GLF,6,6,M,67,11.61,150,15:00,Recorder1
Z632845,2016,TAI,1,5,M,66,11.14,150,14:30,Recorder9
Z632876,2016,EDI,3,6,F,62,10.32,150,17:00,Recorder1
Z081747,2016,SER,1,6,M,66,,151,13:10,Recorder2
Z081799,2016,SER,3,6,F,62,9.82,151,13:40,Recorder2
Z632383,2016,FOF,5,6,F,62,11.17,151,11:20,Recorder2
Z632384,2016,LVN,3,5,M,65,11.37,151,12:10,Recorder2
Z632385,2016,SER,1,6,F,62,11,151,13:10,Recorder2
Z632446,2016,EDI,2,6,F,63,10.92,151,10:00,Recorder2
Z632447,2016,EDI,3,6,M,64,10.53,151,10:20,Recorder2
Z632533,2016,LVN,3,6,F,64,11.29,151,12:10,Recorder2
Z632638,2016,BAD,3,6,F,,,151,11:50,Recorder2
Z632846,2016,STY,4,5,M,62,10.68,152,12:25,Recorder9
Z632847,2016,MCH,6,6,M,63,10.4,152,13:50,Recorder9
Z632877,2016,NEW,2,6,M,68,10.98,152,11:30,Recorder1
Z081687,2016,LVN,5,6,F,62,10.78,153,8:46,Recorder2
Z081757,2016,NEW,2,6,F,63,11.2,153,18:10,Recorder2
Z632271,2016,DEL,5,6,F,63,10.56,153,11:40,Recorder1
Z632368,2016,STY,6,6,F,62,9.85,153,12:10,Recorder2
